央视卫视,#genre#
罗江,http://live2.rxip.sc96655.com/live/ljxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
绵竹,http://live2.rxip.sc96655.com/live/mzxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
名山,http://live2.rxip.sc96655.com/live/msdstH265_2000.m3u8?E=&U=&A=&K=&P=&S=
木里,http://live2.rxip.sc96655.com/live/mltHD_4000.m3u8?E=&U=&A=&K=&P=&S=
南江,http://live2.rxip.sc96655.com/live/njxw_2000.m3u8?E=&U=&A=&K=&P=&S=
前锋,http://live2.rxip.sc96655.com/live/qfxw_2000.m3u8?E=&U=&A=&K=&P=&S=
三台TV,http://live2.rxip.sc96655.com/live/stxwHD_2000.m3u8?E=&U=&A=&K=&P=&S=
石棉,http://live2.rxip.sc96655.com/live/smxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
松潘,http://live2.rxip.sc96655.com/live/spxwzhpdH264_2000.m3u8?E=&U=&A=&K=&P=&S=
万源,http://live2.rxip.sc96655.com/live/wyxwzh_2000.m3u8?E=&U=&A=&K=&P=&S=
西昌,http://live2.rxip.sc96655.com/live/xctHD_2000.m3u8?E=&U=&A=&K=&P=&S=
喜德,http://live2.rxip.sc96655.com/live/xdxw_4000.m3u8?E=&U=&A=&K=&P=&S=
新津,http://live2.rxip.sc96655.com/live/xjzh_4000.m3u8?E=&U=&A=&K=&P=&S=
叙永,http://live2.rxip.sc96655.com/live/xyxw_2000.m3u8?E=&U=&A=&K=&P=&S=
雁江,http://live2.rxip.sc96655.com/live/yjxw_2000.m3u8?E=&U=&A=&K=&P=&S=
营山,http://live2.rxip.sc96655.com/live/ysxw_2000.m3u8?E=&U=&A=&K=&P=&S=
岳池,http://live2.rxip.sc96655.com/live/ycxw_2000.m3u8?E=&U=&A=&K=&P=&S=
荥经,http://live2.rxip.sc96655.com/live/xjdst_2000.m3u8?E=&U=&A=&K=&P=&S=
